GO_term,category,description,ERR2538488,ERR2538396,ERR2538501,ERR2538446,ERR2538365,ERR2538354,ERR2538494,ERR2538510,ERR2538415,ERR2538376,ERR2538359,ERR2538504,ERR2538526,ERR2538465,ERR2538503,ERR2538424,ERR2538389,ERR2538523,ERR2538405,ERR2538524,ERR2538356,ERR2538448,ERR2538466,ERR2538381,ERR2538460,ERR2538402,ERR2538418,ERR2538474,ERR2538410,ERR2538407,ERR2538459,ERR2538469,ERR2538457,ERR2538384,ERR2538401,ERR2538455,ERR2538447,ERR2538382,ERR2538520,ERR2538414,ERR2538470,ERR2538433,ERR2538426,ERR2538487,ERR2538360,ERR2538452,ERR2538517,ERR2538439,ERR2538509,ERR2538398,ERR2538392,ERR2538516,ERR2538514,ERR2538507,ERR2538491,ERR2538351,ERR2538497,ERR2538419,ERR2538525,ERR2538417,ERR2538386,ERR2538492,ERR2538374,ERR2538350,ERR2538353,ERR2538449,ERR2538357,ERR2538490,ERR2538422,ERR2538394,ERR2538473,ERR2538477,ERR2538511,ERR2538522,ERR2538355,ERR2538421,ERR2538406,ERR2538442,ERR2538379,ERR2538496,ERR2538502,ERR2538512,ERR2538475,ERR2538454,ERR2538519,ERR2538441,ERR2538451,ERR2538456,ERR2538479,ERR2538527,ERR2538444,ERR2538481,ERR2538480,ERR2538361,ERR2538440,ERR2538368,ERR2538387,ERR2538372,ERR2538438,ERR2538366,ERR2538352,ERR2538476,ERR2538505,ERR2538358,ERR2538378,ERR2538383,ERR2538375,ERR2538495,ERR2538429,ERR2538364,ERR2538425,ERR2538482,ERR2538437,ERR2538498,ERR2538428,ERR2538412,ERR2538450,ERR2538472,ERR2538493,ERR2538484,ERR2538369,ERR2538411,ERR2538458,ERR2538434,ERR2538430,ERR2538391,ERR2538435,ERR2538420,ERR2538432,ERR2538380,ERR2538404,ERR2538395,ERR2538408,ERR2538471,ERR2538388,ERR2538500,ERR2538385,ERR2538349,ERR2538453,ERR2538506,ERR2538499,ERR2538431,ERR2538362,ERR2538413,ERR2538373,ERR2538463,ERR2538464,ERR2538468,ERR2538483,ERR2538485,ERR2538478,ERR2538518,ERR2538508,ERR2538393,ERR2538461,ERR2538371,ERR2538390,ERR2538427,ERR2538403,ERR2538363,ERR2538489,ERR2538370,ERR2538400,ERR2538521,ERR2538443,ERR2538397,ERR2538367,ERR2538436,ERR2538409,ERR2538377,ERR2538399,ERR2538423,ERR2538445,ERR2538515,ERR2538416,ERR2538513,ERR2538467,ERR2538486,ERR2538462,SRR1950756,SRR1950712,SRR1950750,SRR1950763,SRR1950711,SRR1950732,SRR1950757,SRR1950735,SRR1950786,SRR1950727,SRR1950770,SRR1950687,SRR1950709,SRR1950778,SRR1950726,SRR1950722,SRR1950707,SRR1950715,SRR1950728,SRR1950789,SRR1950723,SRR1950759,SRR1950771,SRR1950764,SRR1950716,SRR1950699,SRR1950742,SRR1950693,SRR1950769,SRR1950733,SRR1950751,SRR1950762,SRR1950766,SRR1950772,SRR1950787,SRR1950758,SRR1950737,SRR1950744,SRR1950760,SRR1950754,SRR1950747,SRR1950731,SRR1950785,SRR1950714,SRR1950705,SRR1950784,SRR1950710,SRR1950775,SRR1950788,SRR1950780,SRR1950753,SRR1950689,SRR1950743,SRR1950730,SRR1950779,SRR1950736,SRR1950782,SRR1950703,SRR1950717,SRR1950777,SRR1950697,SRR1950773,SRR1950720,SRR1950718,SRR1950721,SRR1950734,SRR1950724,SRR1950776,SRR1950767,SRR1950781,SRR1950745,SRR1950783,SRR1950691,SRR1950713,SRR1950755,SRR1950768,SRR1950741,SRR1950790,SRR1950752,SRR1950738,SRR1950761,SRR1950739,SRR1950701,SRR1950740,SRR1950774,SRR1950729,SRR1950719,SRR1950748,SRR1950749,SRR1950765,SRR1950695,SRR1950725,SRR1950791,SRR1950746,SRR2005638,SRR2005657,SRR2005720,SRR2005713,SRR2005669,SRR2005662,SRR2005644,SRR2005671,SRR2005706,SRR2005665,SRR2005717,SRR2005656,SRR2005649,SRR2005655,SRR2005678,SRR2005663,SRR2005369,SRR2005710,SRR2005712,SRR2005723,SRR2005715,SRR2005697,SRR2005724,SRR2005645,SRR2005651,SRR2005498,SRR2005676,SRR2005455,SRR2005421,SRR2005635,SRR2005714,SRR2005636,SRR2005673,SRR2005379,SRR2005661,SRR2005719,SRR2005659,SRR2005374,SRR2005666,SRR2005718,SRR2005378,SRR2005643,SRR2005725,SRR2005647,SRR2005376,SRR2005698,SRR2005648,SRR2005727,SRR2005664,SRR2005670,SRR2005660,SRR2005667,SRR2005709,SRR2005640,SRR2005721,SRR2005672,SRR2005637,SRR2005373,SRR2005716,SRR2005704,SRR2005380,SRR2005381,SRR2005652,SRR2005646,SRR2005639,SRR2005538,SRR2005722,SRR2005642,SRR2005654,SRR2005650,SRR2005658,SRR2005674,SRR2005707
GO:0003674,molecular function,molecular_function,33694,11711,7638,14977,39646,48461,10480,18862,64678,44285,33023,28043,16124,2063,24730,12843,32114,29096,55674,13703,32117,20387,8633,19622,51237,49796,20343,23756,16335,38873,20838,12744,11236,34908,67886,14131,17904,22832,18995,21604,17343,8521,7751,12946,50415,10355,23727,21090,27632,51009,40857,4057,19050,18409,37990,33165,3082,32840,76197,11156,21417,30203,54682,24841,28451,17985,36955,10908,10366,65161,17207,33750,10014,31868,75547,18757,45053,12514,41586,32522,13549,7347,17461,17893,42363,10945,3080,3734,5075,44682,14068,2145,20788,35504,16576,58712,50365,28760,14865,33239,32667,36611,18756,21064,46202,43053,61222,6075,1140,21338,8354,21869,9758,33377,2491,4812,30841,19167,22159,30086,45913,7974,16039,13785,923,45240,1554,6003,8000,38329,44410,41977,35738,21927,37146,21868,22044,27703,3360,13308,27092,10773,27950,614,54866,15665,10076,32357,29377,31860,19602,33628,15141,46780,4052,28472,51769,3724,72768,29526,6289,19933,53239,29320,7669,24463,36253,12535,3163,34270,44373,5251,21953,17189,70694,17525,24695,16700,14447,2874,2203,8952,2675,3019,7517,2529,4235,3398,1957,2264,11526,4463,2560,6187,4644,12164,7764,3770,2533,9165,4906,1763,2105,7899,5402,5170,5786,2671,3062,4106,2301,2047,4705,2698,1242,4696,6364,584,1757,2718,4550,1506,4331,8297,2753,7508,1065,2525,7829,1298,3642,5052,2629,7543,3828,3054,5007,3140,2533,5325,1022,5833,7819,3788,2826,10037,1184,4047,2155,2165,1972,4412,1572,4153,3956,3852,1563,3602,4992,1203,2927,5643,3738,631,2469,12699,3169,2575,2067,7816,4892,1744,2695,19,7510,107,182,7587,11,810,8503,43,393,17,99,98,78,3869,2133,618,4049,6157,53,9513,435,6,4390,29171,631,58,2149,5,3603,184,259,11058,13470,247,2466,347,25,623,112,207,3924,5,112,982,121444,163,3561,36,2768,72,1330,6377,9091,857,47,10,14,631,20304,10284,11,5878,25,73,9366,14081,10,32164,70,1415,2174,1023
GO:0016209,antioxidant activity,molecular_function,4610,3653,1509,2247,17574,14192,1520,5806,5736,15516,11383,3193,3318,53,4105,1222,8245,7901,11065,2391,11803,3550,1409,5028,14125,22185,3278,7327,2770,10891,4160,2693,2524,11597,23271,2412,3313,3689,3278,7624,3935,1816,1175,2230,19051,2793,6420,4187,6859,15288,12154,611,5150,1949,8497,10079,601,6550,2147,1792,5708,4853,20920,11075,6888,1842,15450,2495,813,24519,6325,6759,2159,8156,8812,1247,16383,1335,15314,4170,2454,1656,4641,3383,10777,1209,734,643,807,6903,2153,382,5662,11290,3061,22036,21562,11785,1483,11635,12207,9305,4427,8265,18029,18199,23878,1460,264,6200,1320,5060,1085,3064,418,606,8091,2814,4952,5739,16634,928,4299,1302,210,14212,199,1039,2399,9437,16171,11599,10240,4877,13922,3655,8649,8218,831,2616,4342,2851,7822,164,21199,2132,2050,6538,6707,3769,3699,10437,2724,12391,562,10366,9543,502,25640,12758,1313,6865,21997,4136,1274,5505,13410,2037,444,11627,16908,669,4393,2634,9273,4039,5509,2691,2242,651,528,1971,541,402,1979,614,817,776,196,493,2822,634,648,1702,1271,933,1361,647,404,2099,1056,401,439,1523,868,905,1187,598,529,968,544,387,858,591,211,1366,1332,133,404,584,1192,296,798,741,583,720,166,467,1599,243,717,955,668,1590,824,676,972,706,710,1459,171,1115,1656,964,537,2214,161,571,312,331,366,800,279,911,734,702,337,871,1494,205,699,1151,1015,76,526,2401,595,557,471,2131,1187,306,482,5,2242,22,60,363,2,284,3035,17,125,2,16,39,9,1446,286,111,1224,672,1,2743,45,0,1395,2148,155,24,519,0,1090,53,98,2721,4728,33,736,172,9,157,30,55,1122,0,21,252,3668,61,967,5,920,34,323,1841,2852,190,11,3,8,121,5978,3563,1,1633,4,13,2513,6,1,1026,25,179,707,188
GO:0004601,peroxidase activity,molecular_function,9238,6792,2728,2822,35259,28297,2936,15094,7370,30899,27767,6816,9475,97,7985,1860,18632,16330,20488,4972,31312,6255,1761,7575,25413,31079,5857,18847,4692,23401,5859,4369,5525,20591,55090,3386,5070,6459,4926,19826,7703,2716,1878,3739,42037,4717,13123,6191,15673,32034,26252,1017,15841,4983,16656,20033,875,11667,3487,3140,12680,6926,40542,22705,13962,4059,21217,4058,2169,44043,12499,11447,3622,16959,16051,4104,38583,2739,29253,8634,4837,2750,10152,9032,22714,2410,1180,948,1252,20406,3292,658,10789,22984,4755,48111,35308,17315,1846,20048,23194,25454,10313,19364,41633,35976,44515,2691,433,15459,2079,6265,2110,7482,757,1124,16654,5894,9162,9506,27660,1744,11111,3061,387,26376,424,1586,3858,20124,31442,23968,16163,10212,25325,6518,12191,16451,1511,6085,7944,4488,13573,343,45653,3009,3774,11409,10256,7523,5946,27217,5098,21718,1005,30026,16791,953,53113,25340,2168,19494,36716,2306,1933,13044,27880,3134,712,30003,35177,919,5948,4145,15452,8110,9713,5447,4017,858,675,2842,903,800,3391,651,1141,1041,218,702,5346,988,921,3148,1685,1806,2407,999,924,2786,1750,680,539,2512,1186,1362,1368,785,763,1529,1006,547,1531,771,272,1670,1864,209,485,753,1974,438,1159,1505,732,1102,229,992,2221,333,1340,1360,1206,2178,1328,834,1310,940,867,1664,208,1682,2890,1235,696,3094,199,1143,521,558,528,952,348,1302,1168,1096,465,1447,1975,312,1220,1529,1629,90,864,3929,917,772,607,2571,2238,392,778,3,4788,32,64,759,2,660,6518,53,438,2,51,74,20,3127,522,192,2688,1904,7,3765,73,3,2865,3229,306,49,1025,4,1877,107,209,7089,5403,50,1220,357,16,575,62,113,3192,1,32,440,6403,84,1807,13,2464,61,617,3723,4237,264,24,15,6,221,9808,4203,4,2316,7,47,4517,9,1,1768,39,398,1654,550
GO:0003824,catalytic activity,molecular_function,217779,208866,69504,162682,592924,616494,76868,345050,290698,693219,628629,146620,201496,3665,191772,64829,377130,338322,560061,133641,690524,162521,67471,218433,720664,738606,157823,380096,135436,502463,185060,133633,135489,528995,1363903,109330,150469,170100,158912,435893,192765,79255,55750,100668,932634,134489,291948,177462,401100,627277,599036,25632,352558,94412,385793,467115,25907,293959,112172,82708,306886,194871,924459,364342,310455,90345,463355,114639,42725,903287,258132,321214,98423,380988,420466,62708,845438,57556,611185,181157,117228,82082,236818,187443,554716,53473,35265,26546,43769,401557,95041,19199,233184,539666,131062,890959,737026,372877,65200,449617,449697,544046,251174,422033,981729,575837,1026703,71749,14521,344472,62015,224262,59962,147502,20730,32003,450818,128134,215072,258120,539915,45591,276705,66724,11662,659640,10497,49655,112037,487335,551502,622059,470750,229546,459937,164331,289108,394702,36681,149509,206209,129288,374802,8887,923427,105154,101670,313993,305524,175095,170645,584928,122595,581918,31229,639102,433067,25028,1007544,552105,65793,408994,756116,158475,54678,291270,549881,90963,25532,744992,801847,32440,216076,128348,481522,205783,261023,124643,115211,27203,22035,85079,26604,19123,92397,24239,34043,35431,7714,22154,135638,26750,29205,71601,53086,40478,68602,30514,19376,89717,50231,16957,16408,70696,38383,40301,53440,24961,24817,38235,24710,18269,45042,26982,9172,58666,60688,6028,15924,25710,54969,13855,36986,35433,26963,33059,8504,22217,78964,10482,35964,44421,37062,72290,33583,27942,41698,28251,27114,64390,8109,49088,72806,42496,25359,100765,7611,32539,16910,14874,16198,35917,12190,40959,35867,31093,16372,34116,62186,8046,31731,48505,43350,3322,24898,111337,29108,24619,21478,97960,51525,13649,24813,195,149600,803,2577,17550,31,15682,136736,1203,9128,148,1028,1710,381,64948,12744,5781,84626,51867,256,112883,2306,43,79339,93884,7940,1109,31089,107,58760,2465,4869,154307,195420,1358,34939,8904,359,12215,1933,3492,60281,54,879,14449,175739,2328,59761,360,56059,1184,17357,125865,120198,7740,475,125,119,5630,263871,138020,105,68288,333,1198,120932,395,107,46313,707,11747,48221,10120
GO:0016787,hydrolase activity,molecular_function,114002,70530,30751,75978,240465,251832,36590,127120,154463,273422,239365,84121,76524,1669,90545,34727,164987,136452,204774,52336,249681,78060,23883,86264,307051,303023,69772,146792,58021,199109,88420,53730,50027,220176,466168,53677,69183,84769,64315,158953,83711,37495,24103,49539,356891,60267,124924,88335,149674,273838,217295,13437,125001,50718,163773,184992,11978,130294,57946,37776,122958,100240,368262,151605,137244,48172,210937,44790,23156,370525,101455,147108,46396,151935,172638,39517,310154,34215,245767,119348,55330,40809,93954,77644,234763,29333,16408,13213,20479,171284,49183,7770,101950,209017,67883,366516,300395,174560,35873,199399,189530,199920,96982,164386,369277,252980,401987,29920,4753,178362,24991,100930,30575,99139,9525,14577,166653,66881,99192,136650,238596,22386,95418,32127,4339,244870,4868,25198,50997,190335,251781,223815,202961,96804,204905,79429,121522,157931,14488,59937,90777,57594,142059,3153,386497,47077,43911,137452,149455,93510,73050,239303,56410,233209,12739,230610,180212,12401,416725,225670,26143,152322,308594,72007,29130,117347,229720,46549,10490,268326,362953,16868,79796,55414,225150,79289,113873,61872,46738,13114,10544,38743,12501,9536,37462,12356,16174,16589,3853,10068,55483,14539,13573,27910,26307,24697,29490,13643,10155,42958,21106,6781,8006,29357,18673,18945,26690,11288,11345,16745,10272,8429,17925,12800,4603,28443,27611,2689,7481,12401,22467,6303,17382,20552,11806,18359,4042,10873,35496,4876,14843,20390,14494,31959,15609,12872,19940,12952,12655,31181,3948,19864,32855,20724,11618,49295,3747,12971,8249,7208,7334,18204,5423,19766,14479,13965,7394,15348,28487,3626,13436,23331,18731,1586,10847,43669,13466,11265,10405,47388,20870,6838,11065,83,47220,333,1220,6922,12,5363,48719,370,2742,44,339,601,176,22747,5479,2274,24859,17025,89,50158,850,21,27374,38112,2781,412,11009,40,25191,1028,1724,56062,93411,611,14182,2938,150,4151,688,1158,21151,27,400,4836,83985,859,20214,158,19324,393,6388,37008,55949,3084,152,47,51,2333,110558,66346,48,29088,115,434,40331,702,26,17194,287,3718,13610,3725
GO:0008233,peptidase activity,molecular_function,49762,29753,13657,30245,118144,100716,15845,48413,86329,107243,86521,39085,31608,590,38905,16557,63347,57417,84549,22848,104647,32295,10560,34868,100388,105070,30245,60132,27407,85485,33137,24004,21901,76054,196101,19164,27763,35135,27685,63778,36433,13147,10678,21068,134128,18440,46532,31463,61391,98261,84529,6654,44999,21200,59520,79655,5008,42802,25656,17603,46491,38886,139126,75265,53087,25251,82020,18732,12156,144804,41260,67133,15405,64164,71118,19659,118464,17790,94450,44901,24743,11614,38161,33593,78220,15971,5064,5350,7781,73646,20042,3701,38297,81652,24325,130855,114703,71598,25978,101568,80259,75662,37787,57102,131495,95336,153509,12852,2188,51066,11570,66035,15063,43718,4097,7500,68110,30298,38276,44502,98309,11512,40516,16941,1747,99858,2207,8578,13928,81675,96525,94797,65535,41200,79221,33476,42369,61576,6253,23857,38126,16767,58064,1367,133386,23734,17033,56136,42969,39919,32112,85012,26715,89929,6039,97050,71883,5947,150121,86957,10979,53855,123007,45550,11086,46407,94087,17875,5086,95237,109721,7079,36091,25576,108509,32413,42983,26012,23301,4953,3756,14873,4103,3585,14795,4381,6766,6083,2212,3449,20987,6154,4852,11189,8463,12846,11273,5816,4146,15114,8297,2833,3056,11587,8198,8000,8872,3911,4966,6748,4909,3530,7425,4537,1705,8232,10083,993,2858,4514,9024,2553,6889,10132,4890,11549,1898,4512,15418,2001,5946,7928,6474,12188,6597,5338,8389,5863,4447,8814,2005,8101,13186,7164,5884,17041,1772,4724,3603,3708,3331,6500,2409,7251,5435,6007,3368,6623,9475,1940,5378,9378,7040,841,5125,18250,5183,4220,5129,12881,8967,3459,5091,42,19792,117,830,2707,6,2383,20967,149,1136,15,134,261,79,7831,2275,1037,11819,7013,36,15351,344,7,13683,13695,932,158,4700,19,13025,372,853,23311,24481,253,4661,1263,49,1718,245,480,8111,10,179,2154,29384,386,8496,58,7433,180,2581,16022,15140,1270,62,19,20,863,40427,17596,19,9084,53,207,15258,65,13,6945,129,1527,6045,1463
GO:0016791,phosphatase activity,molecular_function,7090,8690,1988,3405,22912,27548,2342,15996,10419,31929,29454,4026,7248,65,4616,1717,16282,11808,17274,3080,33529,4790,1206,4980,14250,31259,3620,17596,3297,24059,2740,3427,4699,21602,56262,1300,2579,4729,3335,18391,6213,1064,1276,2382,45408,1897,12613,2199,17681,27937,25366,681,16990,3538,5878,19196,652,3354,3518,1893,12178,3786,43623,13980,11711,3231,21721,2476,1438,38621,11069,5784,1405,11785,11663,2264,38445,2008,26336,4827,3706,691,8754,7492,13752,1954,524,374,800,17648,2132,323,8509,23019,1908,42868,29796,17174,2982,20680,18701,23153,7979,20068,48812,26548,52362,2172,331,14113,1517,5551,1499,4845,586,1110,17134,4121,3794,3355,27338,1358,11558,2241,383,24425,263,810,570,16203,21927,25979,8035,7105,17504,4067,11052,16143,889,4753,4652,918,10883,301,45328,2788,2356,8056,2843,5058,3996,28426,3475,8978,758,31773,9780,784,46317,27793,1239,20248,29804,5679,1073,12268,23357,1569,654,38794,36987,666,4141,2470,15403,5875,6569,4103,3007,521,357,1427,462,341,1544,370,716,539,275,335,1254,646,462,1465,626,1380,1056,673,396,1493,828,359,277,1000,811,1190,698,353,511,697,382,331,822,352,142,496,1117,99,322,562,885,331,749,1027,480,1546,186,515,1164,217,433,960,1409,1030,879,503,805,676,393,331,205,831,1588,496,506,1635,188,477,350,440,370,583,252,810,600,1042,328,706,829,181,614,853,776,108,523,1685,556,473,338,414,1051,382,465,8,4455,23,30,405,0,577,4895,49,387,4,29,66,9,1313,303,166,2709,1782,3,1447,69,2,2898,1630,128,36,943,3,2441,91,165,3065,978,21,791,453,13,477,86,121,1927,0,42,536,3632,65,2026,6,2331,25,411,4328,936,156,5,6,5,166,4675,785,2,736,5,27,1927,8,6,1123,30,343,1587,230
GO:0017111,nucleoside-triphosphatase activity,molecular_function,103329,82777,28062,65636,231246,242332,31519,139470,182506,274957,250876,80739,78914,2072,80769,38942,160975,132991,223979,46948,274208,80052,25539,74382,337503,287408,60087,157226,50616,209612,95388,47489,55087,203472,545901,56864,70002,77381,51659,171989,74756,37357,20735,39378,385819,60936,129503,91721,150275,253712,219504,12583,140243,48501,138943,193589,9258,122308,74712,32356,125602,107054,365164,143192,124046,48437,190155,40624,22208,359339,96295,107309,45789,144499,179664,35454,321893,33215,238427,100043,50970,39546,91698,82714,241693,27803,16416,14217,23167,183544,49509,6827,90813,208065,67536,360300,290823,166532,40006,223145,185375,231345,90439,180999,399533,233611,415022,28240,4920,130113,21382,116343,27624,77435,10533,15468,160789,57531,81575,130054,221132,21557,115286,32955,4115,247229,4375,25910,52147,190753,223770,251775,197671,82047,181851,75289,108991,149268,14186,55954,83598,57262,137316,3215,389974,53067,48539,141611,139922,78545,65328,259255,50199,207121,12598,253508,171941,12862,397773,245719,22475,163301,305896,107965,28729,125016,228278,46820,10373,291796,317457,17971,74023,48558,267038,77465,116612,55262,47413,11999,9562,33141,11224,6919,31424,11380,15804,15852,3134,9215,40071,13154,12790,24347,24223,25414,21635,10996,6750,39501,19017,5780,7206,21982,18331,17556,25717,10083,9522,13803,8299,8013,14784,11934,4324,26085,23597,2469,6713,11520,19625,5730,14741,19848,10402,16736,3928,8109,29467,4522,10825,16149,14665,25922,15211,10430,18674,10475,11786,30405,3522,16007,29621,18902,11236,45080,2964,10837,7062,6586,6361,17545,4489,18159,12492,12378,6723,12524,25862,2736,11607,21546,16010,1563,9565,35039,12404,10142,10513,45577,17902,6495,9632,81,52577,289,1466,7734,19,6434,51217,435,3316,51,455,658,222,20450,6124,2627,32638,18883,110,52644,980,21,33618,48633,2142,423,12137,38,29592,1023,2235,50760,90226,678,15099,2946,125,4749,802,1372,21028,14,344,5791,125624,840,23285,154,21125,358,5193,48196,55002,2656,190,27,41,2384,123384,64528,48,30702,138,441,34512,6283,23,29659,316,4427,16770,3317
GO:0009055,electron carrier activity,molecular_function,72818,12832,13226,9192,48237,42925,17678,30174,83562,54438,40771,49932,24240,574,39529,19682,57662,34542,49179,12786,39361,31250,8092,21245,60185,53065,28073,31820,22853,46813,29684,15544,14057,44238,79000,14873,20324,43681,20324,26468,21878,12166,9567,23447,56297,11936,27976,34925,46245,69006,46337,6811,27954,38050,47483,39284,5264,36043,11628,17515,30445,38577,61486,29965,44924,33769,40760,15852,15712,68272,20823,47378,15793,43981,45023,41760,50983,33834,44416,98003,26572,10325,21605,33879,59121,19295,4010,6053,5701,84886,23469,2978,29386,41196,33446,66847,57817,30940,29517,29865,36745,40684,22855,25486,56777,45238,62861,7208,1413,27479,7753,23399,17811,90306,3726,7655,32817,43798,36328,49629,39494,11459,23302,24944,1012,54427,3327,9714,10568,47063,50741,38597,39550,35466,41590,34404,23821,33992,5340,15071,30723,12586,34398,792,61822,26289,22133,43073,41560,77161,25666,50795,26460,55757,6350,36121,50823,6068,90281,30190,6071,24010,60330,32349,14690,44467,45829,23024,3573,46904,60012,7475,25841,19179,89607,23446,33746,34661,21484,3340,2418,9135,3569,3272,8726,2992,3978,4166,1516,2396,9693,10447,2728,6994,5337,26461,7914,4624,3388,10251,5659,1717,2461,8055,8137,5071,5759,2725,3112,5694,2578,2041,4279,3059,1516,5136,9277,687,1793,2878,5460,1718,5942,12317,3060,5791,1009,3155,6405,1483,3065,6703,2361,6912,4529,3770,7545,3777,2570,5388,1033,5938,9969,4280,2476,12526,1053,3698,2364,2083,2003,5455,1619,4716,3683,3566,1593,5170,5152,1013,3323,10425,4382,514,2337,12200,3336,2690,2237,8367,5105,1422,2706,24,8340,70,69,1348,3,943,8530,78,565,13,46,95,42,4621,997,580,4827,5040,13,10654,179,2,4195,8311,567,64,2582,7,2195,243,252,13386,16392,110,2697,391,24,834,100,218,4761,6,81,667,12571,145,4038,32,3820,80,1414,6152,11743,631,43,9,14,438,19140,12818,14,6640,16,75,8936,26,4,3898,42,704,2465,866
GO:0016853,isomerase activity,molecular_function,56615,54234,17623,44259,164450,189836,18769,96847,73325,190381,170858,39657,51310,739,45928,18618,107556,86694,136242,27830,195727,47066,12118,47253,232977,194361,34408,107762,28822,141725,62403,29879,33283,142760,361795,34710,43135,41427,31298,121790,47960,25865,12083,22769,262228,41972,90645,57600,100651,168385,146301,6777,97311,25150,91604,132118,5777,80735,26714,17910,80315,66433,256865,101746,79037,22106,131661,23215,9912,244954,67705,70212,29375,92657,99526,14535,231545,15266,163951,53424,30230,27457,61508,48764,167413,13029,11082,8330,14313,104509,28996,3910,60648,149855,41909,253393,197398,114484,18638,156663,131051,150588,61017,125901,273925,158093,289375,18620,2801,87809,12074,73549,13790,38608,5704,7467,110087,31115,51744,82457,164258,10260,76012,15686,2576,158737,2396,16085,38126,114420,151668,165676,138985,50489,122610,43578,70828,99632,8966,37697,50218,40499,93113,2098,272492,28679,29437,89209,95240,40917,39427,184435,29136,143094,6164,182844,103244,6647,280366,164043,14517,114467,207506,70027,17116,79164,163586,28069,5820,210884,227605,9765,41820,25929,134202,49462,75741,31671,23917,8134,6329,21999,7363,4286,19749,7422,8829,10186,1563,6159,26302,7274,8578,13783,16420,10333,13265,6386,4368,26594,11635,3607,4526,13816,10235,10420,15930,6890,5615,8586,5659,5085,9268,7888,2881,18555,14485,1555,4577,7187,12519,3787,9246,9112,6813,8415,2370,5370,19191,2990,7330,9945,9497,17286,8312,6439,11048,6402,8180,20900,2138,9820,17967,12858,6777,29977,1954,6558,4229,3847,4003,10307,2701,12196,7826,7811,4546,7966,17955,1875,7160,13086,10134,814,5737,21975,8164,6723,6427,32098,10195,3905,6025,37,35775,187,946,3698,6,4459,35888,281,2257,43,234,430,119,12314,3731,1606,22087,11382,40,38215,561,13,23717,27748,1393,302,7892,32,18898,691,1425,31870,65144,355,13053,2239,93,3162,449,846,13454,15,224,3629,57613,596,15231,107,14422,250,3328,42654,40543,1879,104,17,26,1604,89692,46708,32,22607,91,353,21134,118,31,13032,190,2845,12468,2090
GO:0016874,ligase activity,molecular_function,97366,93955,30871,68213,298175,318122,31303,162846,142830,340955,329731,65971,90675,1204,75205,31515,183120,152841,237572,48292,330882,77394,21106,79853,335554,358345,57863,184168,49256,271789,86684,51768,59410,247556,629700,47219,65421,70325,52017,210569,81091,36860,20091,38612,469509,59420,140072,78008,174055,315102,287373,11366,168924,43617,147150,219601,10126,116376,45081,29963,138106,92081,499998,183546,142441,40451,260339,40210,19145,473252,122475,115679,39954,156705,172169,28150,411695,26604,314830,83754,50735,36024,107410,88209,248206,22880,15759,11787,19437,189230,45895,6624,105827,257509,59217,482657,365295,210371,38037,254387,220401,263322,108588,214384,483866,302037,536358,31440,4905,154797,20328,124461,23603,69719,9283,13897,179789,56128,85406,115409,309898,18696,132476,29179,4699,280741,4034,22294,48110,205900,283284,288540,194229,93803,225678,69107,136846,177156,15269,63874,80861,53398,156814,3498,481448,44892,44276,148149,130131,70337,65328,296024,48614,227441,11296,310987,169420,11414,507888,292557,22803,214216,383406,111405,26119,135429,272598,41440,9781,361392,404769,14928,71518,45521,231986,85783,120400,54401,42013,12518,8833,34448,10825,6352,31807,10578,14746,14349,2611,9003,45716,11726,12591,24595,23728,18359,21472,10365,6927,40117,18490,5744,6641,22306,16391,16925,22986,9663,9217,14526,9364,7514,14220,11143,3815,25659,22047,2220,6639,10942,20076,5655,13735,15755,10086,13401,3570,8458,29214,4390,12323,14466,14600,25543,14858,10463,17513,10654,11541,27058,3605,15751,29953,18218,10810,45310,2988,10070,7220,6107,6171,15549,4080,19461,11969,12857,7081,13986,27365,2899,12403,20076,16629,1304,9460,35076,11928,9993,9632,41541,18021,6213,9843,68,64730,347,1549,6979,16,7747,67475,591,4044,65,492,743,208,22575,5603,2742,38433,20646,85,51872,905,12,39774,42542,2213,482,13976,52,32703,1118,2460,56045,83208,645,15953,3502,144,5533,828,1670,26158,30,429,6402,86224,1033,27032,155,26564,436,6799,55291,52692,3042,134,48,42,2547,126873,59449,39,30450,163,533,36300,197,40,22153,336,5283,21528,3611
